name,year,team,games_played,ftm,fta,tpa
Kyle Alexander,2016,Brooklyn Nets (BKN),52,35,49,221
Kyle Alexander,2016,Los Angeles Clippers (LAC),58,76,121,7
Kyle Alexander,2016,Detroit Pistons (DET),58,74,107,1
Kyle Alexander,2016,Miami Heat (MIA),16,9,15,3
Kyle Alexander,2016,Boston Celtics (BOS),73,362,429,374
Kyle Alexander,2016,Charlotte Hornets (CHA),72,91,125,15
Kyle Alexander,2016,Sacramento Kings (SAC),25,35,43,138
Kyle Alexander,2016,Milwaukee Bucks (MIL),49,157,196,233
Kyle Alexander,2016,Portland Trail Blazers (POR),65,40,50,144
Kyle Alexander,2016,Minnesota Timberwolves (MIN),62,57,76,113
Kyle Alexander,2016,Miami Heat (MIA),80,103,128,270
Kyle Alexander,2016,New Orleans Pelicans (NOP),67,119,168,281
Kyle Alexander,2016,Toronto Raptors (TOR),78,190,253,67
Kyle Alexander,2016,Sacramento Kings (SAC),57,72,103,77
Kyle Alexander,2016,Indiana Pacers (IND),82,66,80,273
Kyle Alexander,2016,Philadelphia 76ers (PHI),68,108,135,242
Kyle Alexander,2016,Houston Rockets (HOU),1,0,0,0
Kyle Alexander,2016,Los Angeles Lakers (LAL),74,226,424,2
Kyle Alexander,2016,Portland Trail Blazers (POR),59,90,115,307
Kyle Alexander,2016,Toronto Raptors (TOR),23,30,34,103
Kyle Alexander,2016,Miami Heat (MIA),76,72,102,177
Kyle Alexander,2016,New Orleans Pelicans (NOP),79,133,214,187
Kyle Alexander,2016,Brooklyn Nets (BKN),72,297,328,441
Kyle Alexander,2016,Milwaukee Bucks (MIL),26,52,65,92
Kyle Alexander,2016,Utah Jazz (UTA),82,50,68,279
Kyle Alexander,2016,Los Angeles Clippers (LAC),52,118,136,184
Kyle Alexander,2016,Los Angeles Lakers (LAL),74,358,531,342
Kyle Alexander,2016,Toronto Raptors (TOR),77,36,53,154
Kyle Alexander,2016,Denver Nuggets (DEN),73,188,228,139
Kyle Alexander,2016,Atlanta Hawks (ATL),10,3,10,0
Kyle Alexander,2016,Memphis Grizzlies (MEM),60,33,43,73
Kyle Alexander,2016,Minnesota Timberwolves (MIN),76,152,215,256
Kyle Alexander,2016,Miami Heat (MIA),32,29,41,11
Kyle Alexander,2016,Brooklyn Nets (BKN),81,205,425,2
Kyle Alexander,2016,Sacramento Kings (SAC),80,94,122,135
Kyle Alexander,2016,Boston Celtics (BOS),72,224,285,38
Kyle Alexander,2016,Phoenix Suns (PHX),75,118,156,354
Kyle Alexander,2015,Detroit Pistons (DET),52,156,183,351
Kyle Alexander,2016,Milwaukee Bucks (MIL),35,14,15,200
Kyle Alexander,2016,Dallas Mavericks (DAL),81,152,194,9
Kyle Alexander,2016,Atlanta Hawks (ATL),33,52,74,8
Kyle Alexander,2016,Minnesota Timberwolves (MIN),35,13,17,51
Kyle Alexander,2016,Dallas Mavericks (DAL),77,85,98,269
Kyle Alexander,2016,Chicago Bulls (CHI),47,117,140,310
Kyle Alexander,2016,Indiana Pacers (IND),62,110,129,146
Kyle Alexander,2016,Miami Heat (MIA),74,35,40,213
Kyle Alexander,2016,Brooklyn Nets (BKN),57,67,93,184
Kyle Alexander,2016,Portland Trail Blazers (POR),75,488,545,579
Kyle Alexander,2016,Los Angeles Clippers (LAC),74,469,533,387
Kyle Alexander,2016,Golden State Warriors (GSW),53,21,34,9
Kyle Alexander,2016,Milwaukee Bucks (MIL),75,295,364,387
Kyle Alexander,2016,Sacramento Kings (SAC),77,150,208,12
Kyle Alexander,2016,Toronto Raptors (TOR),60,299,365,468
Kyle Alexander,2016,Cleveland Cavaliers (CLE),60,257,295,389
Kyle Alexander,2016,San Antonio Spurs (SAS),71,57,79,204
Kyle Alexander,2016,Washington Wizards (WAS),31,43,75,0
Kyle Alexander,2016,Milwaukee Bucks (MIL),81,75,104,2
Kyle Alexander,2016,Brooklyn Nets (BKN),69,105,123,161
Kyle Alexander,2016,Dallas Mavericks (DAL),35,47,58,0
Kyle Alexander,2016,Toronto Raptors (TOR),71,29,37,123
Kyle Alexander,2016,Detroit Pistons (DET),57,32,49,74
Kyle Alexander,2016,Portland Trail Blazers (POR),80,268,294,439
Kyle Alexander,2016,Indiana Pacers (IND),81,73,90,55
Kyle Alexander,2016,Milwaukee Bucks (MIL),73,146,179,479
Kyle Alexander,2016,Indiana Pacers (IND),22,12,17,58
Kyle Alexander,2016,Los Angeles Lakers (LAL),77,56,111,3
Kyle Alexander,2016,Los Angeles Clippers (LAC),78,44,71,220
Kyle Alexander,2015,Detroit Pistons (DET),15,9,13,11
Kyle Alexander,2016,Houston Rockets (HOU),61,70,93,170
Kyle Alexander,2013,New Orleans Pelicans (NOP),45,29,36,77
Kyle Alexander,2016,Milwaukee Bucks (MIL),29,81,92,104
Kyle Alexander,2016,Denver Nuggets (DEN),69,311,405,241
Kyle Alexander,2016,San Antonio Spurs (SAS),80,66,80,355
Kyle Alexander,2016,New Orleans Pelicans (NOP),73,57,74,208
Kyle Alexander,2016,Los Angeles Lakers (LAL),76,180,215,196
Kyle Alexander,2016,Los Angeles Clippers (LAC),79,145,185,357
Kyle Alexander,2016,Utah Jazz (UTA),55,131,167,178
Kyle Alexander,2016,Denver Nuggets (DEN),82,106,120,344
Kyle Alexander,2016,Oklahoma City Thunder (OKC),70,49,64,110
Kyle Alexander,2016,Cleveland Cavaliers (CLE),63,59,80,36
Kyle Alexander,2016,Washington Wizards (WAS),53,38,49,92
Kyle Alexander,2016,Philadelphia 76ers (PHI),40,8,9,31
Kyle Alexander,2016,Utah Jazz (UTA),23,2,2,12
Kyle Alexander,2015,Los Angeles Clippers (LAC),29,22,45,1
Kyle Alexander,2015,Portland Trail Blazers (POR),32,61,99,3
Kyle Alexander,2016,Oklahoma City Thunder (OKC),22,34,48,0
Kyle Alexander,2016,Philadelphia 76ers (PHI),79,64,83,17
Kyle Alexander,2016,Miami Heat (MIA),75,90,123,192
Kyle Alexander,2016,Indiana Pacers (IND),67,116,154,352
Kyle Alexander,2016,New Orleans Pelicans (NOP),50,106,158,0
Kyle Alexander,2016,Phoenix Suns (PHX),79,75,99,188
Kyle Alexander,2016,Sacramento Kings (SAC),51,162,218,178
Kyle Alexander,2016,Los Angeles Clippers (LAC),65,43,60,253
Kyle Alexander,2016,Washington Wizards (WAS),6,3,5,9
Kyle Alexander,2016,New York Knicks (NYK),82,146,211,146
Kyle Alexander,2016,Oklahoma City Thunder (OKC),61,232,260,302
Kyle Alexander,2016,San Antonio Spurs (SAS),54,31,57,0
Kyle Alexander,2016,Denver Nuggets (DEN),27,47,76,1
Kyle Alexander,2016,Chicago Bulls (CHI),80,99,119,341
Kyle Alexander,2015,Dallas Mavericks (DAL),72,201,240,243
Kyle Alexander,2016,New York Knicks (NYK),64,39,59,96
Kyle Alexander,2016,Toronto Raptors (TOR),76,126,159,173
Kyle Alexander,2016,Dallas Mavericks (DAL),77,107,141,74
Kyle Alexander,2016,Brooklyn Nets (BKN),59,74,94,102
Kyle Alexander,2016,New York Knicks (NYK),74,204,282,63
Kyle Alexander,2016,New Orleans Pelicans (NOP),78,180,202,468
Kyle Alexander,2016,Houston Rockets (HOU),74,132,191,299
Kyle Alexander,2016,Philadelphia 76ers (PHI),53,60,77,227
Kyle Alexander,2014,Oklahoma City Thunder (OKC),67,23,48,85
Kyle Alexander,2016,Philadelphia 76ers (PHI),69,54,76,125
Kyle Alexander,2016,Los Angeles Lakers (LAL),69,30,50,133
Kyle Alexander,2016,Charlotte Hornets (CHA),74,51,66,179
Kyle Alexander,2016,Orlando Magic (ORL),24,23,27,135
Kyle Alexander,2016,Minnesota Timberwolves (MIN),63,147,188,384
Kyle Alexander,2016,Phoenix Suns (PHX),75,254,285,196
Kyle Alexander,2016,Indiana Pacers (IND),81,44,67,159
Kyle Alexander,2016,Detroit Pistons (DET),64,221,253,60
Kyle Alexander,2015,Indiana Pacers (IND),26,18,25,29
Kyle Alexander,2016,Oklahoma City Thunder (OKC),79,218,255,294
Kyle Alexander,2016,Chicago Bulls (CHI),57,23,33,37
Kyle Alexander,2016,Philadelphia 76ers (PHI),18,7,8,27
Kyle Alexander,2016,Phoenix Suns (PHX),81,172,220,341
Kyle Alexander,2016,Houston Rockets (HOU),62,55,75,120
Kyle Alexander,2016,Toronto Raptors (TOR),55,22,32,7
Kyle Alexander,2016,Boston Celtics (BOS),79,203,250,332
Kyle Alexander,2016,Washington Wizards (WAS),81,72,102,105
Kyle Alexander,2016,Detroit Pistons (DET),80,47,58,355
Kyle Alexander,2016,Atlanta Hawks (ATL),82,360,415,252
Kyle Alexander,2016,Brooklyn Nets (BKN),65,58,74,220
