name,year,team,games_played,ftm,fta,tpa
Jarrett Allen,2013,Milwaukee Bucks (MIL),82,252,301,511
Jarrett Allen,2013,Los Angeles Lakers (LAL),5,1,1,0
Jarrett Allen,2013,Houston Rockets (HOU),82,115,143,297
Jarrett Allen,2013,Milwaukee Bucks (MIL),82,118,137,290
Jarrett Allen,2013,Denver Nuggets (DEN),74,286,391,212
Jarrett Allen,2013,San Antonio Spurs (SAS),81,73,82,318
Jarrett Allen,2013,New Orleans Pelicans (NOP),79,52,68,161
Jarrett Allen,2013,Los Angeles Lakers (LAL),81,259,327,108
Jarrett Allen,2013,Los Angeles Clippers (LAC),82,121,159,260
Jarrett Allen,2013,Oklahoma City Thunder (OKC),20,14,14,3
Jarrett Allen,2012,Los Angeles Clippers (LAC),66,178,237,5
Jarrett Allen,2013,Philadelphia 76ers (PHI),69,57,83,3
Jarrett Allen,2013,Miami Heat (MIA),70,99,122,114
Jarrett Allen,2013,Indiana Pacers (IND),80,248,318,226
Jarrett Allen,2013,Los Angeles Clippers (LAC),48,41,55,112
Jarrett Allen,2013,Oklahoma City Thunder (OKC),62,295,345,212
Jarrett Allen,2013,Denver Nuggets (DEN),70,122,195,3
Jarrett Allen,2013,Chicago Bulls (CHI),37,8,12,21
Jarrett Allen,2013,New Orleans Pelicans (NOP),35,97,106,185
Jarrett Allen,2013,Houston Rockets (HOU),69,110,173,99
Jarrett Allen,2013,Los Angeles Lakers (LAL),30,42,67,90
Jarrett Allen,2013,Orlando Magic (ORL),81,82,98,408
Jarrett Allen,2013,Phoenix Suns (PHX),82,227,283,133
Jarrett Allen,2013,Detroit Pistons (DET),10,27,32,47
Jarrett Allen,2013,Oklahoma City Thunder (OKC),49,29,43,42
Jarrett Allen,2013,Philadelphia 76ers (PHI),80,103,132,200
Jarrett Allen,2013,Houston Rockets (HOU),61,53,69,152
Jarrett Allen,2013,Washington Wizards (WAS),70,22,39,23
Jarrett Allen,2013,Detroit Pistons (DET),77,31,41,178
Jarrett Allen,2013,Atlanta Hawks (ATL),79,318,376,225
Jarrett Allen,2013,Brooklyn Nets (BKN),75,30,43,29
Jarrett Allen,2013,Cleveland Cavaliers (CLE),82,235,339,1
Jarrett Allen,2012,Golden State Warriors (GSW),82,132,157,526
Jarrett Allen,2013,Houston Rockets (HOU),81,156,201,191
Jarrett Allen,2013,Minnesota Timberwolves (MIN),27,24,34,24
Jarrett Allen,2013,Memphis Grizzlies (MEM),81,198,260,1
Jarrett Allen,2013,Orlando Magic (ORL),57,105,137,0
Jarrett Allen,2013,Boston Celtics (BOS),73,282,337,327
Jarrett Allen,2013,Los Angeles Lakers (LAL),70,161,235,250
Jarrett Allen,2012,Washington Wizards (WAS),49,246,306,45
Jarrett Allen,2013,Houston Rockets (HOU),46,242,293,214
Jarrett Allen,2011,Portland Trail Blazers (POR),18,5,12,0
Jarrett Allen,2013,Los Angeles Clippers (LAC),60,152,179,231
Jarrett Allen,2013,Milwaukee Bucks (MIL),66,57,73,234
Jarrett Allen,2013,Chicago Bulls (CHI),79,163,229,292
Jarrett Allen,2013,Charlotte Hornets (CHA),82,146,200,1
Jarrett Allen,2013,Washington Wizards (WAS),51,64,75,211
Jarrett Allen,2012,Denver Nuggets (DEN),60,52,65,188
Jarrett Allen,2013,Memphis Grizzlies (MEM),64,33,41,247
Jarrett Allen,2013,Houston Rockets (HOU),22,59,62,164
Jarrett Allen,2012,Los Angeles Lakers (LAL),75,312,423,22
Jarrett Allen,2013,Brooklyn Nets (BKN),74,53,71,228
Jarrett Allen,2013,Atlanta Hawks (ATL),74,164,221,351
Jarrett Allen,2013,Los Angeles Clippers (LAC),72,346,407,364
Jarrett Allen,2012,Memphis Grizzlies (MEM),14,3,4,0
Jarrett Allen,2013,Minnesota Timberwolves (MIN),15,3,4,14
Jarrett Allen,2013,Philadelphia 76ers (PHI),70,102,113,336
Jarrett Allen,2012,Portland Trail Blazers (POR),49,125,178,28
Jarrett Allen,2012,Atlanta Hawks (ATL),61,196,269,1
