name,year,team,games_played,ftm,fta,tpa
Al-Farouq Aminu,2011,Los Angeles Clippers (LAC),64,237,292,229
Al-Farouq Aminu,2011,Milwaukee Bucks (MIL),57,115,146,149
Al-Farouq Aminu,2011,Chicago Bulls (CHI),63,111,144,4
Al-Farouq Aminu,2011,Washington Wizards (WAS),56,108,136,150
Al-Farouq Aminu,2008,Denver Nuggets (DEN),38,27,32,46
Al-Farouq Aminu,2011,Memphis Grizzlies (MEM),51,41,55,101
Al-Farouq Aminu,2011,Houston Rockets (HOU),61,150,171,422
Al-Farouq Aminu,2010,Los Angeles Lakers (LAL),81,276,402,18
Al-Farouq Aminu,2011,Brooklyn Nets (BKN),59,87,109,157
Al-Farouq Aminu,2011,Atlanta Hawks (ATL),63,43,78,178
Al-Farouq Aminu,2011,Los Angeles Clippers (LAC),65,154,185,219
Al-Farouq Aminu,2010,Portland Trail Blazers (POR),82,354,430,3
Al-Farouq Aminu,2010,Atlanta Hawks (ATL),75,286,402,5
