name,year,team,games_played,ftm,fta,tpa
Steven Adams,2012,Portland Trail Blazers (POR),56,78,95,209
Steven Adams,2011,Portland Trail Blazers (POR),41,79,102,87
Steven Adams,2010,Portland Trail Blazers (POR),75,138,197,271
Steven Adams,2009,Portland Trail Blazers (POR),72,148,228,407
Steven Adams,2008,Portland Trail Blazers (POR),82,120,169,191
Steven Adams,2007,Portland Trail Blazers (POR),24,41,60,15
Steven Adams,2006,Portland Trail Blazers (POR),57,106,171,7
Steven Adams,2005,Portland Trail Blazers (POR),21,35,50,2
Steven Adams,2004,Portland Trail Blazers (POR),80,121,174,13
Steven Adams,2019,Phoenix Suns (PHX),30,60,78,3
Steven Adams,2018,Phoenix Suns (PHX),71,141,189,4
Steven Adams,2019,Memphis Grizzlies (MEM),30,30,35,91
Steven Adams,2018,Memphis Grizzlies (MEM),38,45,60,99
Steven Adams,2019,Orlando Magic (ORL),60,31,46,104
Steven Adams,2018,Orlando Magic (ORL),47,37,63,70
Steven Adams,2019,Sacramento Kings (SAC),13,25,31,22
Steven Adams,2018,Sacramento Kings (SAC),62,181,262,96
Steven Adams,2019,Charlotte Hornets (CHA),39,35,53,67
Steven Adams,2018,Charlotte Hornets (CHA),43,34,46,87
Steven Adams,2017,Charlotte Hornets (CHA),53,20,25,43
Steven Adams,2019,Dallas Mavericks (DAL),26,17,18,76
Steven Adams,2018,Dallas Mavericks (DAL),38,55,78,128
Steven Adams,2017,Dallas Mavericks (DAL),69,80,102,313
Steven Adams,2016,Dallas Mavericks (DAL),35,44,51,148
Steven Adams,2015,Dallas Mavericks (DAL),74,74,96,260
Steven Adams,2014,Dallas Mavericks (DAL),77,76,94,167
Steven Adams,2013,Dallas Mavericks (DAL),79,79,100,231
Steven Adams,2012,Dallas Mavericks (DAL),74,105,134,280
Steven Adams,2011,Dallas Mavericks (DAL),41,76,98,143
Steven Adams,2010,Dallas Mavericks (DAL),81,133,157,189
Steven Adams,2009,Dallas Mavericks (DAL),78,76,90,157
Steven Adams,2008,Dallas Mavericks (DAL),79,70,93,154
Steven Adams,2007,Dallas Mavericks (DAL),44,28,35,54
Steven Adams,2006,Dallas Mavericks (DAL),33,16,24,21
Steven Adams,2019,New York Knicks (NYK),56,156,254,197
Steven Adams,2019,Denver Nuggets (DEN),58,102,133,288
Steven Adams,2018,Denver Nuggets (DEN),43,57,74,196
Steven Adams,2017,Denver Nuggets (DEN),81,182,226,422
Steven Adams,2016,Denver Nuggets (DEN),60,143,190,235
Steven Adams,2015,Denver Nuggets (DEN),82,216,268,325
Steven Adams,2014,Denver Nuggets (DEN),28,64,79,67
