name,year,team,games_played,ftm,fta,tpa
Bam Adebayo,2018,Memphis Grizzlies (MEM),76,88,106,56
Bam Adebayo,2018,Milwaukee Bucks (MIL),27,9,12,83
Bam Adebayo,2018,Dallas Mavericks (DAL),72,346,485,514
Bam Adebayo,2018,Phoenix Suns (PHX),64,50,67,4
Bam Adebayo,2018,New York Knicks (NYK),73,73,98,342
Bam Adebayo,2018,Denver Nuggets (DEN),6,1,2,8
Bam Adebayo,2018,San Antonio Spurs (SAS),77,366,441,45
Bam Adebayo,2018,Cleveland Cavaliers (CLE),79,243,412,38
Bam Adebayo,2018,Chicago Bulls (CHI),46,55,69,96
Bam Adebayo,2018,Los Angeles Lakers (LAL),59,32,46,151
Bam Adebayo,2018,New York Knicks (NYK),28,25,33,217
Bam Adebayo,2017,Brooklyn Nets (BKN),68,359,404,413
Bam Adebayo,2018,Philadelphia 76ers (PHI),64,522,649,263
Bam Adebayo,2018,Miami Heat (MIA),36,79,101,164
Bam Adebayo,2018,Minnesota Timberwolves (MIN),30,0,1,15
Bam Adebayo,2018,San Antonio Spurs (SAS),23,11,13,0
Bam Adebayo,2018,Cleveland Cavaliers (CLE),42,68,86,62
Bam Adebayo,2018,Chicago Bulls (CHI),60,50,73,4
Bam Adebayo,2018,New Orleans Pelicans (NOP),76,154,228,78
Bam Adebayo,2018,Oklahoma City Thunder (OKC),74,37,51,290
Bam Adebayo,2018,Dallas Mavericks (DAL),81,73,103,254
Bam Adebayo,2018,Orlando Magic (ORL),81,137,170,450
Bam Adebayo,2018,Sacramento Kings (SAC),71,60,67,149
Bam Adebayo,2018,Sacramento Kings (SAC),81,303,417,232
Bam Adebayo,2018,San Antonio Spurs (SAS),82,69,78,413
Bam Adebayo,2018,Orlando Magic (ORL),10,1,4,6
Bam Adebayo,2018,Orlando Magic (ORL),19,21,37,14
Bam Adebayo,2018,Orlando Magic (ORL),18,16,23,36
Bam Adebayo,2018,Oklahoma City Thunder (OKC),68,367,406,372
Bam Adebayo,2018,Detroit Pistons (DET),80,81,96,380
Bam Adebayo,2018,Toronto Raptors (TOR),26,40,52,52
Bam Adebayo,2018,San Antonio Spurs (SAS),69,120,147,184
Bam Adebayo,2018,Los Angeles Clippers (LAC),77,453,540,757
Bam Adebayo,2018,Sacramento Kings (SAC),58,58,91,6
Bam Adebayo,2018,New York Knicks (NYK),70,134,177,34
Bam Adebayo,2018,Oklahoma City Thunder (OKC),82,156,195,139
Bam Adebayo,2018,Atlanta Hawks (ATL),16,9,11,6
Bam Adebayo,2018,Orlando Magic (ORL),78,185,253,347
Bam Adebayo,2018,Houston Rockets (HOU),68,119,152,600
Bam Adebayo,2018,Atlanta Hawks (ATL),35,18,22,128
Bam Adebayo,2017,New Orleans Pelicans (NOP),5,7,11,13
Bam Adebayo,2018,Charlotte Hornets (CHA),46,35,46,121
Bam Adebayo,2018,Los Angeles Lakers (LAL),80,37,44,435
Bam Adebayo,2018,Golden State Warriors (GSW),66,63,91,165
Bam Adebayo,2018,Utah Jazz (UTA),81,332,522,0
Bam Adebayo,2018,Denver Nuggets (DEN),80,157,221,293
Bam Adebayo,2018,Detroit Pistons (DET),75,414,550,522
Bam Adebayo,2018,Houston Rockets (HOU),77,183,206,320
Bam Adebayo,2018,Los Angeles Clippers (LAC),24,17,21,80
Bam Adebayo,2018,Houston Rockets (HOU),78,754,858,1028
Bam Adebayo,2018,New York Knicks (NYK),60,49,73,120
Bam Adebayo,2018,Dallas Mavericks (DAL),19,33,43,140
Bam Adebayo,2018,Denver Nuggets (DEN),57,115,144,242
Bam Adebayo,2018,Philadelphia 76ers (PHI),27,74,88,135
Bam Adebayo,2018,Brooklyn Nets (BKN),76,110,133,386
Bam Adebayo,2018,Los Angeles Clippers (LAC),82,266,414,17
Bam Adebayo,2018,Chicago Bulls (CHI),73,82,123,89
Bam Adebayo,2018,Houston Rockets (HOU),28,11,14,6
Bam Adebayo,2018,Detroit Pistons (DET),14,6,10,31
Bam Adebayo,2018,Miami Heat (MIA),10,3,4,12
Bam Adebayo,2018,New Orleans Pelicans (NOP),67,55,80,274
Bam Adebayo,2018,Boston Celtics (BOS),72,156,187,231
Bam Adebayo,2018,Charlotte Hornets (CHA),58,100,144,39
Bam Adebayo,2018,Sacramento Kings (SAC),82,171,193,651
Bam Adebayo,2018,Milwaukee Bucks (MIL),47,53,65,125
Bam Adebayo,2018,Portland Trail Blazers (POR),58,87,114,152
Bam Adebayo,2018,Minnesota Timberwolves (MIN),70,66,86,181
Bam Adebayo,2018,Miami Heat (MIA),44,23,32,101
Bam Adebayo,2018,New Orleans Pelicans (NOP),67,208,271,363
Bam Adebayo,2018,Toronto Raptors (TOR),59,118,183,49
Bam Adebayo,2018,Sacramento Kings (SAC),70,128,175,0
Bam Adebayo,2018,Indiana Pacers (IND),50,41,50,127
Bam Adebayo,2018,Indiana Pacers (IND),44,54,60,195
Bam Adebayo,2018,Philadelphia 76ers (PHI),68,78,95,203
Bam Adebayo,2018,Houston Rockets (HOU),39,56,71,178
Bam Adebayo,2018,Los Angeles Lakers (LAL),9,29,48,0
Bam Adebayo,2018,Portland Trail Blazers (POR),27,33,41,84
Bam Adebayo,2018,Toronto Raptors (TOR),74,135,177,169
Bam Adebayo,2018,Miami Heat (MIA),68,39,67,144
Bam Adebayo,2018,Atlanta Hawks (ATL),75,41,56,353
Bam Adebayo,2018,New Orleans Pelicans (NOP),52,195,289,94
Bam Adebayo,2018,Chicago Bulls (CHI),44,23,38,50
Bam Adebayo,2018,Brooklyn Nets (BKN),67,214,245,434
Bam Adebayo,2018,Orlando Magic (ORL),75,110,135,266
Bam Adebayo,2018,New Orleans Pelicans (NOP),61,54,73,169
Bam Adebayo,2018,Orlando Magic (ORL),68,84,103,79
Bam Adebayo,2018,Memphis Grizzlies (MEM),79,143,213,225
Bam Adebayo,2018,Milwaukee Bucks (MIL),67,61,74,160
Bam Adebayo,2018,Utah Jazz (UTA),82,87,123,483
Bam Adebayo,2018,Dallas Mavericks (DAL),29,21,29,86
Bam Adebayo,2018,Los Angeles Clippers (LAC),82,204,236,471
Bam Adebayo,2018,Memphis Grizzlies (MEM),58,151,197,142
Bam Adebayo,2018,Los Angeles Lakers (LAL),55,278,418,327
Bam Adebayo,2018,Indiana Pacers (IND),14,4,8,2
Bam Adebayo,2018,Orlando Magic (ORL),1,0,0,1
Bam Adebayo,2018,Toronto Raptors (TOR),18,9,13,34
Bam Adebayo,2018,Denver Nuggets (DEN),80,289,352,270
Bam Adebayo,2018,Atlanta Hawks (ATL),24,24,37,0
Bam Adebayo,2018,Memphis Grizzlies (MEM),68,58,69,126
Bam Adebayo,2018,Minnesota Timberwolves (MIN),55,50,70,149
Bam Adebayo,2018,Miami Heat (MIA),60,74,122,91
Bam Adebayo,2018,Brooklyn Nets (BKN),19,51,66,0
Bam Adebayo,2018,Sacramento Kings (SAC),82,30,43,171
Bam Adebayo,2018,Boston Celtics (BOS),23,50,68,12
Bam Adebayo,2018,Dallas Mavericks (DAL),71,58,74,218
Bam Adebayo,2018,Detroit Pistons (DET),63,51,61,269
Bam Adebayo,2018,New York Knicks (NYK),75,162,226,364
Bam Adebayo,2018,Phoenix Suns (PHX),47,79,107,139
Bam Adebayo,2018,Detroit Pistons (DET),27,18,23,97
Bam Adebayo,2018,Milwaukee Bucks (MIL),54,47,57,294
Bam Adebayo,2018,Chicago Bulls (CHI),46,38,46,193
Bam Adebayo,2018,Dallas Mavericks (DAL),64,95,123,47
Bam Adebayo,2018,Los Angeles Lakers (LAL),70,188,250,422
Bam Adebayo,2018,Atlanta Hawks (ATL),9,3,6,2
Bam Adebayo,2018,Brooklyn Nets (BKN),63,72,92,184
Bam Adebayo,2018,Philadelphia 76ers (PHI),48,36,44,144
Bam Adebayo,2018,Minnesota Timberwolves (MIN),71,50,71,181
Bam Adebayo,2018,Dallas Mavericks (DAL),22,5,7,39
Bam Adebayo,2018,Golden State Warriors (GSW),32,19,22,68
Bam Adebayo,2018,Chicago Bulls (CHI),63,312,375,321
Bam Adebayo,2018,Indiana Pacers (IND),58,19,31,31
Bam Adebayo,2018,Indiana Pacers (IND),79,231,260,330
Bam Adebayo,2018,Miami Heat (MIA),61,43,51,111
Bam Adebayo,2018,Brooklyn Nets (BKN),40,85,123,154
Bam Adebayo,2018,Portland Trail Blazers (POR),80,468,513,643
Bam Adebayo,2018,Los Angeles Clippers (LAC),60,364,426,302
Bam Adebayo,2018,Golden State Warriors (GSW),80,65,105,10
Bam Adebayo,2018,Milwaukee Bucks (MIL),81,112,133,512
Bam Adebayo,2018,Sacramento Kings (SAC),77,140,216,204
Bam Adebayo,2018,Toronto Raptors (TOR),65,161,194,453
Bam Adebayo,2018,Cleveland Cavaliers (CLE),22,103,114,147
Bam Adebayo,2018,San Antonio Spurs (SAS),64,81,116,200
Bam Adebayo,2018,Washington Wizards (WAS),34,42,61,16
Bam Adebayo,2018,Milwaukee Bucks (MIL),74,89,123,31
Bam Adebayo,2018,Brooklyn Nets (BKN),29,27,35,94
Bam Adebayo,2018,Chicago Bulls (CHI),52,170,195,332
Bam Adebayo,2018,Dallas Mavericks (DAL),22,26,36,8
Bam Adebayo,2018,Milwaukee Bucks (MIL),38,39,57,64
Bam Adebayo,2018,Toronto Raptors (TOR),26,13,15,24
Bam Adebayo,2018,Detroit Pistons (DET),29,36,47,75
Bam Adebayo,2018,Portland Trail Blazers (POR),70,159,192,445
Bam Adebayo,2018,Indiana Pacers (IND),76,29,37,42
Bam Adebayo,2018,Milwaukee Bucks (MIL),23,41,48,130
Bam Adebayo,2018,Indiana Pacers (IND),77,66,79,206
Bam Adebayo,2018,Los Angeles Lakers (LAL),75,96,152,12
Bam Adebayo,2018,Los Angeles Clippers (LAC),66,52,72,225
Bam Adebayo,2018,Cleveland Cavaliers (CLE),72,27,48,118
Bam Adebayo,2018,Detroit Pistons (DET),27,28,35,35
Bam Adebayo,2018,Houston Rockets (HOU),19,8,12,41
Bam Adebayo,2018,Memphis Grizzlies (MEM),50,21,28,95
Bam Adebayo,2018,San Antonio Spurs (SAS),29,13,17,2
Bam Adebayo,2017,New Orleans Pelicans (NOP),82,58,67,358
Bam Adebayo,2018,Milwaukee Bucks (MIL),77,216,258,474
Bam Adebayo,2018,Denver Nuggets (DEN),70,181,249,159
Bam Adebayo,2018,San Antonio Spurs (SAS),82,88,103,404
Bam Adebayo,2018,Toronto Raptors (TOR),10,3,4,21
Bam Adebayo,2018,Philadelphia 76ers (PHI),20,5,7,44
Bam Adebayo,2018,Indiana Pacers (IND),14,2,2,11
Bam Adebayo,2018,New Orleans Pelicans (NOP),53,45,59,176
Bam Adebayo,2018,Los Angeles Lakers (LAL),24,14,19,59
Bam Adebayo,2018,Denver Nuggets (DEN),82,65,81,227
Bam Adebayo,2018,Charlotte Hornets (CHA),73,90,102,330
Bam Adebayo,2018,Los Angeles Clippers (LAC),75,146,173,389
Bam Adebayo,2018,Utah Jazz (UTA),59,144,186,210
Bam Adebayo,2018,Los Angeles Clippers (LAC),22,24,40,3
Bam Adebayo,2018,Denver Nuggets (DEN),75,189,223,414
Bam Adebayo,2018,Brooklyn Nets (BKN),9,0,2,10
Bam Adebayo,2018,Oklahoma City Thunder (OKC),17,7,8,57
Bam Adebayo,2018,Utah Jazz (UTA),77,319,396,519
Bam Adebayo,2018,Cleveland Cavaliers (CLE),67,96,134,98
Bam Adebayo,2018,Oklahoma City Thunder (OKC),61,27,36,100
Bam Adebayo,2017,San Antonio Spurs (SAS),81,105,148,34
Bam Adebayo,2018,Washington Wizards (WAS),56,115,138,228
Bam Adebayo,2018,Philadelphia 76ers (PHI),37,28,33,60
Bam Adebayo,2018,Utah Jazz (UTA),59,20,24,105
Bam Adebayo,2017,Los Angeles Clippers (LAC),7,2,4,0
Bam Adebayo,2018,New York Knicks (NYK),43,23,30,115
Bam Adebayo,2018,Detroit Pistons (DET),3,0,0,4
Bam Adebayo,2017,Portland Trail Blazers (POR),79,172,273,7
Bam Adebayo,2018,Utah Jazz (UTA),82,32,42,176
Bam Adebayo,2018,Oklahoma City Thunder (OKC),77,54,79,0
Bam Adebayo,2018,Boston Celtics (BOS),56,24,39,89
Bam Adebayo,2018,Philadelphia 76ers (PHI),45,17,21,12
Bam Adebayo,2018,Minnesota Timberwolves (MIN),74,118,162,215
Bam Adebayo,2018,Phoenix Suns (PHX),53,37,47,132
Bam Adebayo,2018,Miami Heat (MIA),79,152,185,319
Bam Adebayo,2018,Indiana Pacers (IND),36,103,141,216
Bam Adebayo,2018,Cleveland Cavaliers (CLE),76,141,181,374
Bam Adebayo,2018,New Orleans Pelicans (NOP),59,59,89,5
Bam Adebayo,2018,Phoenix Suns (PHX),40,121,159,206
Bam Adebayo,2018,Sacramento Kings (SAC),25,52,76,81
Bam Adebayo,2018,Los Angeles Clippers (LAC),63,19,30,137
Bam Adebayo,2018,Washington Wizards (WAS),3,0,0,2
Bam Adebayo,2018,New York Knicks (NYK),42,55,74,105
Bam Adebayo,2018,Oklahoma City Thunder (OKC),58,175,203,355
Bam Adebayo,2018,San Antonio Spurs (SAS),77,49,92,0
Bam Adebayo,2018,Brooklyn Nets (BKN),18,19,22,46
Bam Adebayo,2018,Denver Nuggets (DEN),82,111,198,10
Bam Adebayo,2018,Chicago Bulls (CHI),15,29,32,80
Bam Adebayo,2017,Dallas Mavericks (DAL),48,218,275,228
Bam Adebayo,2018,New York Knicks (NYK),28,38,47,119
