name,year,team,games_played,ftm,fta,tpa
LaMarcus Aldridge,2017,Chicago Bulls (CHI),55,54,81,2
LaMarcus Aldridge,2017,New Orleans Pelicans (NOP),77,140,215,63
LaMarcus Aldridge,2017,Oklahoma City Thunder (OKC),61,9,10,120
LaMarcus Aldridge,2017,Dallas Mavericks (DAL),21,11,15,67
LaMarcus Aldridge,2017,Orlando Magic (ORL),57,150,173,335
LaMarcus Aldridge,2017,Sacramento Kings (SAC),82,82,103,359
LaMarcus Aldridge,2017,Sacramento Kings (SAC),73,141,195,153
LaMarcus Aldridge,2017,San Antonio Spurs (SAS),80,48,72,228
LaMarcus Aldridge,2017,Orlando Magic (ORL),14,10,21,1
LaMarcus Aldridge,2017,Orlando Magic (ORL),27,33,43,69
LaMarcus Aldridge,2017,Oklahoma City Thunder (OKC),21,81,87,111
LaMarcus Aldridge,2017,Detroit Pistons (DET),58,33,41,218
LaMarcus Aldridge,2017,Toronto Raptors (TOR),73,281,337,320
LaMarcus Aldridge,2017,San Antonio Spurs (SAS),57,112,145,118
LaMarcus Aldridge,2017,Los Angeles Clippers (LAC),79,338,411,609
LaMarcus Aldridge,2017,New York Knicks (NYK),82,142,185,35
LaMarcus Aldridge,2017,Orlando Magic (ORL),58,157,225,342
LaMarcus Aldridge,2017,Houston Rockets (HOU),69,195,241,608
LaMarcus Aldridge,2017,Atlanta Hawks (ATL),63,41,59,97
LaMarcus Aldridge,2017,Los Angeles Lakers (LAL),70,50,65,320
LaMarcus Aldridge,2017,Golden State Warriors (GSW),70,134,173,256
LaMarcus Aldridge,2017,Utah Jazz (UTA),56,204,299,0
LaMarcus Aldridge,2017,Denver Nuggets (DEN),81,162,240,110
LaMarcus Aldridge,2017,Detroit Pistons (DET),25,87,111,135
LaMarcus Aldridge,2017,Houston Rockets (HOU),78,203,234,170
LaMarcus Aldridge,2017,Los Angeles Clippers (LAC),55,80,111,127
LaMarcus Aldridge,2017,Houston Rockets (HOU),72,624,727,722
LaMarcus Aldridge,2017,New York Knicks (NYK),59,42,59,118
LaMarcus Aldridge,2017,Dallas Mavericks (DAL),57,146,179,410
LaMarcus Aldridge,2017,Denver Nuggets (DEN),67,134,162,394
LaMarcus Aldridge,2017,Philadelphia 76ers (PHI),32,64,80,169
LaMarcus Aldridge,2017,Brooklyn Nets (BKN),78,86,104,358
LaMarcus Aldridge,2017,Los Angeles Clippers (LAC),76,139,222,7
LaMarcus Aldridge,2017,Chicago Bulls (CHI),23,28,38,26
LaMarcus Aldridge,2017,Detroit Pistons (DET),76,90,158,7
LaMarcus Aldridge,2017,Miami Heat (MIA),14,1,2,8
LaMarcus Aldridge,2017,New Orleans Pelicans (NOP),63,66,94,197
LaMarcus Aldridge,2017,Boston Celtics (BOS),1,0,0,1
LaMarcus Aldridge,2017,Charlotte Hornets (CHA),22,47,62,7
LaMarcus Aldridge,2017,Sacramento Kings (SAC),80,71,81,408
LaMarcus Aldridge,2017,Milwaukee Bucks (MIL),24,33,41,77
LaMarcus Aldridge,2017,Portland Trail Blazers (POR),75,86,105,267
LaMarcus Aldridge,2017,Minnesota Timberwolves (MIN),25,10,12,50
LaMarcus Aldridge,2017,Miami Heat (MIA),12,3,6,21
LaMarcus Aldridge,2017,New Orleans Pelicans (NOP),81,187,238,356
LaMarcus Aldridge,2017,Toronto Raptors (TOR),68,249,316,54
LaMarcus Aldridge,2017,Sacramento Kings (SAC),48,37,56,31
LaMarcus Aldridge,2017,Indiana Pacers (IND),72,135,164,449
LaMarcus Aldridge,2017,Philadelphia 76ers (PHI),72,94,120,226
LaMarcus Aldridge,2017,Houston Rockets (HOU),23,25,31,58
LaMarcus Aldridge,2017,Los Angeles Lakers (LAL),81,334,582,7
LaMarcus Aldridge,2017,Portland Trail Blazers (POR),21,26,32,71
LaMarcus Aldridge,2017,Toronto Raptors (TOR),76,94,118,297
LaMarcus Aldridge,2017,Miami Heat (MIA),64,55,87,117
LaMarcus Aldridge,2017,New Orleans Pelicans (NOP),59,192,282,105
LaMarcus Aldridge,2017,Brooklyn Nets (BKN),60,232,261,407
LaMarcus Aldridge,2017,Orlando Magic (ORL),27,19,25,46
LaMarcus Aldridge,2017,Orlando Magic (ORL),62,34,47,46
LaMarcus Aldridge,2017,Memphis Grizzlies (MEM),77,177,279,217
LaMarcus Aldridge,2017,Milwaukee Bucks (MIL),23,33,45,83
LaMarcus Aldridge,2017,Utah Jazz (UTA),82,66,83,464
LaMarcus Aldridge,2017,Dallas Mavericks (DAL),68,26,36,185
LaMarcus Aldridge,2017,Los Angeles Clippers (LAC),45,112,134,169
LaMarcus Aldridge,2017,Los Angeles Lakers (LAL),82,388,531,406
LaMarcus Aldridge,2017,Toronto Raptors (TOR),69,112,145,234
LaMarcus Aldridge,2017,Denver Nuggets (DEN),75,266,313,280
LaMarcus Aldridge,2017,Atlanta Hawks (ATL),15,3,5,0
LaMarcus Aldridge,2017,Memphis Grizzlies (MEM),82,71,81,129
LaMarcus Aldridge,2017,Minnesota Timberwolves (MIN),73,113,162,185
LaMarcus Aldridge,2017,Miami Heat (MIA),14,11,18,16
LaMarcus Aldridge,2017,Brooklyn Nets (BKN),77,181,312,0
LaMarcus Aldridge,2017,Sacramento Kings (SAC),82,70,94,190
LaMarcus Aldridge,2017,Boston Celtics (BOS),71,156,184,2
LaMarcus Aldridge,2017,Dallas Mavericks (DAL),72,44,59,128
LaMarcus Aldridge,2017,Detroit Pistons (DET),73,65,76,195
LaMarcus Aldridge,2017,Phoenix Suns (PHX),79,155,194,274
LaMarcus Aldridge,2016,Detroit Pistons (DET),54,132,154,139
LaMarcus Aldridge,2017,Milwaukee Bucks (MIL),73,64,72,376
LaMarcus Aldridge,2017,Chicago Bulls (CHI),20,8,11,79
LaMarcus Aldridge,2017,Dallas Mavericks (DAL),74,117,171,2
LaMarcus Aldridge,2017,Los Angeles Lakers (LAL),77,147,208,434
LaMarcus Aldridge,2017,Atlanta Hawks (ATL),60,95,118,51
LaMarcus Aldridge,2017,Philadelphia 76ers (PHI),14,2,4,17
LaMarcus Aldridge,2017,Minnesota Timberwolves (MIN),35,2,3,20
LaMarcus Aldridge,2017,Dallas Mavericks (DAL),76,114,124,278
LaMarcus Aldridge,2017,Golden State Warriors (GSW),15,22,29,60
LaMarcus Aldridge,2017,Chicago Bulls (CHI),24,87,107,123
LaMarcus Aldridge,2017,Indiana Pacers (IND),53,10,16,42
LaMarcus Aldridge,2017,Indiana Pacers (IND),80,179,208,254
LaMarcus Aldridge,2017,Miami Heat (MIA),33,9,11,26
LaMarcus Aldridge,2017,Brooklyn Nets (BKN),71,133,187,245
LaMarcus Aldridge,2017,Portland Trail Blazers (POR),73,493,538,629
LaMarcus Aldridge,2017,Los Angeles Clippers (LAC),9,31,38,35
LaMarcus Aldridge,2017,Golden State Warriors (GSW),66,42,77,5
LaMarcus Aldridge,2017,Milwaukee Bucks (MIL),74,111,158,325
LaMarcus Aldridge,2017,Sacramento Kings (SAC),69,158,231,3
LaMarcus Aldridge,2017,Toronto Raptors (TOR),78,223,261,596
LaMarcus Aldridge,2017,Cleveland Cavaliers (CLE),59,234,266,330
LaMarcus Aldridge,2017,San Antonio Spurs (SAS),73,101,143,218
LaMarcus Aldridge,2017,Washington Wizards (WAS),77,90,128,2
LaMarcus Aldridge,2017,Milwaukee Bucks (MIL),64,68,90,14
LaMarcus Aldridge,2017,Brooklyn Nets (BKN),52,46,58,158
LaMarcus Aldridge,2017,Chicago Bulls (CHI),68,140,166,401
LaMarcus Aldridge,2017,Dallas Mavericks (DAL),20,41,52,0
